"file"	"line"	"tag"	"className"
"frontend/src/pages/bots/BotsPage.tsx"	"312"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/buddy/BuddyPage.tsx"	"53"	"button"	"""btn-primary field-h-md"""
"frontend/src/pages/buddy/BuddyPage.tsx"	"67"	"button"	"""btn-secondary"""
"frontend/src/pages/buddy/BuddyPage.tsx"	"68"	"button"	"""btn-primary"""
"frontend/src/pages/buddy/BuddyPage.tsx"	"84"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"347"	"button"	""
"frontend/src/pages/channels/ChannelsPage.tsx"	"386"	"button"	"""btn-sm"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"404"	"button"	"""btn-sm"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"435"	"button"	"""btn-primary"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"521"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"557"	"button"	"""btn-primary"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"600"	"button"	"""btn-sm btn-ghost"""
"frontend/src/pages/channels/ChannelsPage.tsx"	"607"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/commission-settings/CommissionSettingsPage.tsx"	"251"	"button"	"""btn-primary"""
"frontend/src/pages/commissions/CommissionsPage.tsx"	"226"	"button"	"""btn-sm"""
"frontend/src/pages/companies/CompaniesPage.tsx"	"358"	"button"	"""btn-primary field-h-md"""
"frontend/src/pages/companies/CompaniesPage.tsx"	"409"	"button"	"""btn-sm"""
"frontend/src/pages/companies/CompaniesPage.tsx"	"412"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/companies/CompaniesPage.tsx"	"438"	"button"	"{`tab ${activeTab === ""basic"" ? ""active"" : """"}`}"
"frontend/src/pages/companies/CompaniesPage.tsx"	"439"	"button"	"{`tab ${activeTab === ""billing"" ? ""active"" : """"}`}"
"frontend/src/pages/companies/CompaniesPage.tsx"	"440"	"button"	"{`tab ${activeTab === ""delivery"" ? ""active"" : """"}`}"
"frontend/src/pages/companies/CompaniesPage.tsx"	"550"	"button"	""
"frontend/src/pages/companies/CompaniesPage.tsx"	"551"	"button"	"""btn-primary"""
"frontend/src/pages/companies/CompaniesPage.tsx"	"572"	"button"	"""btn-secondary"""
"frontend/src/pages/companies/CompaniesPage.tsx"	"573"	"button"	"""btn-primary"""
"frontend/src/pages/company-detail/CompanyAddressesTab.tsx"	"52"	"button"	"""btn-sm"""
"frontend/src/pages/company-detail/CompanyAddressesTab.tsx"	"53"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/company-detail/CompanyAddressesTab.tsx"	"73"	"button"	"""btn-sm"""
"frontend/src/pages/company-detail/CompanyAddressesTab.tsx"	"87"	"button"	"""btn-sm"""
"frontend/src/pages/company-detail/CompanyBasicTab.tsx"	"97"	"button"	"""btn-primary"""
"frontend/src/pages/company-detail/CompanyBasicTab.tsx"	"126"	"button"	"""btn-primary"""
"frontend/src/pages/company-detail/CompanyBasicTab.tsx"	"135"	"button"	"""btn-danger"""
"frontend/src/pages/company-detail/CompanyChannelsTab.tsx"	"37"	"button"	"""btn-primary"""
