width,height,dark,lang,kind,mode,amount,equivalent200Percent,required,available,natural_fits,reference_matched,before_unchanged,before_footer_height,after_footer_height,after_child_count,after_inside,after_text_unclipped,after_nonoverlap,same_children,body_client_height,body_scroll_height,body_scroll_top
767,900,True,en,orders,existing,0,False,270.125,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,en,orders,existing,123450,False,323.75,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,en,orders,existing,999999999999,False,398.28125,719,True,True,True,80,80,3,True,True,True,True,393,393,0
767,900,True,en,orders,saving,123450,False,346.96875,719,True,True,True,80,80,3,True,True,True,True,393,393,0
768,360,False,ja,purchase,existing,0,False,277.0625,688,True,True,True,76,76,3,True,True,True,True,180,831,651
768,360,False,ja,purchase,new,0,False,277.0625,688,True,True,True,76,76,3,True,True,True,True,180,831,651
768,360,False,ja,purchase,saving,0,False,303.453125,688,True,True,True,76,76,3,True,True,True,True,180,831,651
768,360,False,ja,shipping,existing,0,False,407.5,688,True,True,True,76,76,3,True,True,True,True,180,1529,1349
768,360,False,ja,shipping,new,0,False,407.5,688,True,True,True,76,76,3,True,True,True,True,180,1529,1349
768,360,False,ja,shipping,saving,0,False,433.890625,688,True,True,True,76,76,3,True,True,True,True,180,1529,1349
768,360,False,ja,orders,existing,0,False,265.515625,688,True,True,True,76,76,3,True,True,True,True,180,393,213
768,360,False,ja,orders,existing,123450,False,319.140625,688,True,True,True,76,76,3,True,True,True,True,180,393,213
768,360,False,ja,orders,existing,999999999999,False,393.671875,688,True,True,True,76,76,3,True,True,True,True,180,393,213
768,360,False,ja,orders,saving,123450,False,345.53125,688,True,True,True,76,76,3,True,True,True,True,180,393,213
